,index,variable,value
41264,Cdh1,366.8504858605001,1.0
41265,Clb6,366.8504858605001,0.0
41266,MBF,366.8504858605001,1.0
41267,Nrm1,366.8504858605001,0.0
41268,Cdh1,366.8604858605001,1.0
41269,Clb6,366.8604858605001,0.0
41270,MBF,366.8604858605001,1.0
41271,Nrm1,366.8604858605001,0.0
41272,Cdh1,366.8704858605001,1.0
41273,Clb6,366.8704858605001,0.0
41274,MBF,366.8704858605001,1.0
41275,Nrm1,366.8704858605001,0.0
41276,Cdh1,366.8804858605001,1.0
41277,Clb6,366.8804858605001,0.0
41278,MBF,366.8804858605001,1.0
41279,Nrm1,366.8804858605001,0.0
41280,Cdh1,366.89048586050006,1.0
41281,Clb6,366.89048586050006,0.0
41282,MBF,366.89048586050006,1.0
41283,Nrm1,366.89048586050006,0.0
41284,Cdh1,366.90048586050005,1.0
41285,Clb6,366.90048586050005,0.0
41286,MBF,366.90048586050005,1.0
41287,Nrm1,366.90048586050005,0.0
41288,Cdh1,366.91048586050005,1.0
41289,Clb6,366.91048586050005,0.0
41290,MBF,366.91048586050005,1.0
41291,Nrm1,366.91048586050005,0.0
41292,Cdh1,366.92048586050004,1.0
41293,Clb6,366.92048586050004,0.0
41294,MBF,366.92048586050004,1.0
41295,Nrm1,366.92048586050004,0.0
41296,Cdh1,366.9304858605,1.0
41297,Clb6,366.9304858605,0.0
41298,MBF,366.9304858605,1.0
41299,Nrm1,366.9304858605,0.0
41300,Cdh1,366.9404858605,1.0
41301,Clb6,366.9404858605,0.0
41302,MBF,366.9404858605,1.0
41303,Nrm1,366.9404858605,0.0
41304,Cdh1,366.9504858605,1.0
41305,Clb6,366.9504858605,0.0
41306,MBF,366.9504858605,1.0
41307,Nrm1,366.9504858605,0.0
41308,Cdh1,366.9604858605,1.0
41309,Clb6,366.9604858605,0.0
41310,MBF,366.9604858605,1.0
41311,Nrm1,366.9604858605,0.0
41312,Cdh1,366.9704858605,1.0
41313,Clb6,366.9704858605,0.0
41314,MBF,366.9704858605,1.0
41315,Nrm1,366.9704858605,0.0
41316,Cdh1,366.9804858605,1.0
41317,Clb6,366.9804858605,0.0
41318,MBF,366.9804858605,1.0
41319,Nrm1,366.9804858605,0.0
41320,Cdh1,366.9904858605,1.0
41321,Clb6,366.9904858605,0.0
41322,MBF,366.9904858605,1.0
41323,Nrm1,366.9904858605,0.0
41324,Cdh1,367.00048586049996,1.0
41325,Clb6,367.00048586049996,0.0
41326,MBF,367.00048586049996,1.0
41327,Nrm1,367.00048586049996,0.0
41328,Cdh1,367.01048586049995,1.0
41329,Clb6,367.01048586049995,0.0
41330,MBF,367.01048586049995,1.0
41331,Nrm1,367.01048586049995,0.0
41332,Cdh1,367.02048586049995,1.0
41333,Clb6,367.02048586049995,0.0
41334,MBF,367.02048586049995,1.0
41335,Nrm1,367.02048586049995,0.0
41336,Cdh1,367.03048586049994,1.0
41337,Clb6,367.03048586049994,0.0
41338,MBF,367.03048586049994,1.0
41339,Nrm1,367.03048586049994,0.0
41340,Cdh1,367.0404858604999,1.0
41341,Clb6,367.0404858604999,0.0
41342,MBF,367.0404858604999,1.0
41343,Nrm1,367.0404858604999,0.0
41344,Cdh1,367.0504858604999,1.0
41345,Clb6,367.0504858604999,0.0
41346,MBF,367.0504858604999,1.0
41347,Nrm1,367.0504858604999,0.0
41348,Cdh1,367.0604858604999,1.0
41349,Clb6,367.0604858604999,0.0
41350,MBF,367.0604858604999,1.0
41351,Nrm1,367.0604858604999,0.0
41352,Cdh1,367.0704858604999,1.0
41353,Clb6,367.0704858604999,0.0
41354,MBF,367.0704858604999,1.0
41355,Nrm1,367.0704858604999,0.0
41356,Cdh1,367.0804858604999,1.0
41357,Clb6,367.0804858604999,0.0
41358,MBF,367.0804858604999,1.0
41359,Nrm1,367.0804858604999,0.0
41360,Cdh1,367.0904858604999,1.0
41361,Clb6,367.0904858604999,0.0
41362,MBF,367.0904858604999,1.0
41363,Nrm1,367.0904858604999,0.0
41364,Cdh1,367.1004858604999,1.0
41365,Clb6,367.1004858604999,0.0
41366,MBF,367.1004858604999,1.0
41367,Nrm1,367.1004858604999,0.0
41368,Cdh1,367.11048586049986,1.0
41369,Clb6,367.11048586049986,0.0
41370,MBF,367.11048586049986,1.0
41371,Nrm1,367.11048586049986,0.0
41372,Cdh1,367.12048586049985,1.0
41373,Clb6,367.12048586049985,0.0
41374,MBF,367.12048586049985,1.0
41375,Nrm1,367.12048586049985,0.0
41376,Cdh1,367.13048586049985,1.0
41377,Clb6,367.13048586049985,0.0
41378,MBF,367.13048586049985,1.0
41379,Nrm1,367.13048586049985,0.0
41380,Cdh1,367.14048586049984,1.0
41381,Clb6,367.14048586049984,0.0
41382,MBF,367.14048586049984,1.0
41383,Nrm1,367.14048586049984,0.0
41384,Cdh1,367.1504858604998,1.0
41385,Clb6,367.1504858604998,0.0
41386,MBF,367.1504858604998,1.0
41387,Nrm1,367.1504858604998,0.0
41388,Cdh1,367.1604858604998,1.0
41389,Clb6,367.1604858604998,0.0
41390,MBF,367.1604858604998,1.0
41391,Nrm1,367.1604858604998,0.0
41392,Cdh1,367.1704858604998,1.0
41393,Clb6,367.1704858604998,0.0
41394,MBF,367.1704858604998,1.0
41395,Nrm1,367.1704858604998,0.0
41396,Cdh1,367.1804858604998,1.0
41397,Clb6,367.1804858604998,0.0
41398,MBF,367.1804858604998,1.0
41399,Nrm1,367.1804858604998,0.0
41400,Cdh1,367.1904858604998,1.0
41401,Clb6,367.1904858604998,0.0
41402,MBF,367.1904858604998,1.0
41403,Nrm1,367.1904858604998,0.0
